lvl	pos	rep	cpos	crep	ctype	content_class	priority	index	function_name	argument_gloss	argument_name	argument_description
0	010	000	001	000	Connector	C	3	3	Connection	POS.AL	Alienable possessive	Indicates mutable possession of or by the object
0	010	000	001	000	Connector	C	4	4	Connection	POS.INAL	Inalienable possessive	Indicates immutable possession of or by the object
0	010	000	001	000	Connector	C	5	5	Connection	PRT.TRF	Participatory transformative	Draws from or directs to the object the right of possession
0	010	000	001	000	Connector	C	6	7	Connection	PRT.CPL	Participatory complementary	Draws from or directs to the object the benefit or value
0	010	000	001	000	Connector	C	7	9	Connection	TRN.TRF	Translative transformative	Assumes or forfeits the identity or role of the object
0	010	000	001	000	Connector	C	8	11	Connection	TRN.CPL	Translative complementary	Assumes or forfeits the likeness or state of the object
0	010	000	001	000	Connector	C	9	13	Connection	POS.CMP.AL	Alienable compositional	Conveys mutable part-whole relationship
0	010	000	001	000	Connector	C	10	15	Connection	POS.ELM.AL	Alienable elementary	Conveys mutable set-element relationship
0	010	000	001	000	Connector	C	11	17	Connection	POS.CMP.INAL	Inalienable compositional	Conveys immutable part-whole relationship
0	010	000	001	000	Connector	C	12	19	Connection	POS.ELM.INAL	Inalienable elementary	Conveys immutable set-element relationship
0	011	000	001	000	Connector	V	1	1	Direction	UP	Increasing	Upward, generally superior, senior, or more important
0	011	000	001	000	Connector	V	2	2	Direction	DOWN	Decreasing	Downward, generally inferior, junior, or less important
0	011	000	001	000	Connector	V	3	3	Direction	FRONT	Increasing perpendicular	Forward, directly superior, senior, or more important
0	011	000	001	000	Connector	V	4	4	Direction	RIGHT	Increasing lateral	Rightward, indirectly superior, senior, or more important
0	011	000	001	000	Connector	V	5	5	Direction	BACK	Decreasing perpendicular	Backward, directly inferior, junior, or less important
0	011	000	001	000	Connector	V	6	6	Direction	LEFT	Decreasing lateral	Leftward, indirectly inferior, junior, or less important
0	100	000	111	000	Classifier	C	1	1	Class	picture	Picture	Non-analyzed impressions, images, sensations
0	100	000	111	000	Classifier	C	2	2	Class	idea	Idea	Fully analyzed mental objects, thoughts, templates
0	100	000	111	000	Classifier	C	3	3	Class	thing	Thing	Specific aggregates, concrete everyday objects and entities
0	100	000	111	000	Classifier	C	4	4	Class	person	Person	Specific agents, people, creatures, anthropomorphic objects
0	100	000	111	000	Classifier	C	5	5	Class	instance	Instance	Elements of sets, copies, times or attempts in regard to action
0	100	000	111	000	Classifier	C	6	7	Class	figure	Figure	Visible physical shapes, geometric objects and patterns
0	100	000	111	000	Classifier	C	7	9	Class	part	Part	Pieces, portions, components of objects and structures
0	100	000	111	000	Classifier	C	8	11	Class	number	Number	Numerical or quantifiable traits, formal objects
0	100	000	111	000	Classifier	C	9	13	Class	mass	Mass	Undifferentiated aggregates, substances, materials
0	100	000	111	000	Classifier	C	10	15	Class	construction	Construction	Differentiated aggregates, structures, systems
0	100	000	111	000	Classifier	C	11	17	Class	participant	Participant	Actors, tools, resources that participate, produce or suffer the action
0	100	000	111	000	Classifier	C	12	19	Class	symbol	Symbol	Models, signs, words that relate to other objects
0	101	000	111	000	Classifier	V	1	1	Type	state	State	Inactant but temporal predicates: what it is like to be the entity
0	101	000	111	000	Classifier	V	2	2	Type	mode	Mode	Inactant and atemporal subjects: roles taken on by entities
0	101	000	111	000	Classifier	V	3	3	Type	action	Action	Actant and temporal descriptors: what an object does
0	101	000	111	000	Classifier	V	4	4	Type	method	Method	Descriptors of actions and states: how it is performed
0	101	000	111	000	Classifier	V	5	5	Type	thing	Thing	Actant but atemporal subjects: entities as they are
0	101	000	111	000	Classifier	V	6	6	Type	characteristic	Characteristic	Descriptors of things and modes: what properties the subject has
0	100	000	110	000	Determiner	C	1	0	Article		General	Undifferentiated article
0	100	000	110	000	Determiner	C	2	1	Article	IND	Indefinite instance	Non-specific instance selection: every instance possible, not necessary
0	100	000	110	000	Determiner	C	3	2	Article	DEF	Definite instance	Specific instance selection: not every instance possible or necessary
0	100	000	110	000	Determiner	C	4	3	Article	IND.KIND	Indefinite subclass	Non-specific subclass selection: every subclass possible, not necessary
0	100	000	110	000	Determiner	C	5	4	Article	DEF.KIND	Definite subclass	Specific subclass selection: not every subclass possible or necessary
0	100	000	110	000	Determiner	C	6	5	Article	EXS	Exhaustive instance	Universal selection: every instance is included
0	100	000	110	000	Determiner	C	7	7	Article	EXSD	Exhausted instance	Empty selection: no instance is included
0	100	000	110	000	Determiner	C	8	9	Article	EXC	Exclusive instance	Unique selection: only this instance
0	100	000	110	000	Determiner	C	9	11	Article	EXCD	Excluded instance	Inverse unique selection: every instance but this one
0	100	000	110	000	Determiner	C	10	13	Article	EXS.KIND	Exhaustive subclass	Universal selection: every subclass is included
0	100	000	110	000	Determiner	C	11	15	Article	EXSD.KIND	Exhausted subclass	Empty selection: no subclass is included
0	100	000	110	000	Determiner	C	12	17	Article	EXC.KIND	Exclusive subclass	Unique selection: only this subclass
0	100	000	110	000	Determiner	C	13	19	Article	EXCD.KIND	Excluded subclass	Inverse unique selection: every subclass but this one
0	011	000	110	000	Determiner	V	1	1	Discourse	COM	Common	Things already mentioned or of general knowledge
0	011	000	110	000	Determiner	V	2	2	Discourse	SPC	Special	Things just mentioned or not expected to be known
0	011	000	110	000	Determiner	V	3	3	Discourse	FAM	Familiar	Speaker is familiar, listener is not necessarily so
0	011	000	110	000	Determiner	V	4	4	Discourse	INQ	Inquiring	Speaker thinks the listener is familiar, says nothing about themselves
0	011	000	110	000	Determiner	V	5	5	Discourse	UNFAM	Unfamiliar	Speaker is not familiar, listener is possibly so
0	011	000	110	000	Determiner	V	6	6	Discourse	SCR	Secretive	Speaker thinks the listener is not familiar, says nothing about themselves
0	010	000			Proform	C	1	1	Impression base	REL.INAN	Relative inanimate	Relates to definite inanimate entities
0	010	000			Proform	C	2	2	Impression base	REL.AN	Relative animate	Relates to definite animate entities
0	010	000			Proform	C	3	3	Impression base	DEF.INAN	Definite inanimate	Introduces definite inanimate entities
0	010	000			Proform	C	4	4	Impression base	DEF.AN	Definite animate	Introduces definite animate entities
0	010	000			Proform	C	5	5	Impression base	INT.INAN.UNV	Interrogative inanimate universal	Inquiries about undefined inanimate entities from the same range
0	010	000			Proform	C	6	6	Impression base	INT.INAN.EXS	Interrogative inanimate existential	Inquiries about undefined inanimate entities picked from a range
0	010	000			Proform	C	7	7	Impression base	DEM.INAN.UNV	Demonstrative inanimate universal	Points to general inanimate entities from the same range
0	010	000			Proform	C	8	8	Impression base	DEM.INAN.EXS	Demonstrative inanimate existential	Points to general inanimate entities picked from a range
0	010	000			Proform	C	9	9	Impression base	INT.AN.UNV	Interrogative animate universal	Inquiries about undefined animate entities from the same range
0	010	000			Proform	C	10	10	Impression base	INT.AN.EXS	Interrogative animate existential	Inquiries about undefined animate entities picked from a range
0	010	000			Proform	C	11	11	Impression base	DEM.AN.UNV	Demonstrative animate universal	Points to general animate entities that exhaust a range
0	010	000			Proform	C	12	12	Impression base	DEM.AN.EXS	Demonstrative animate existential	Points to general animate entities from a range
0	010	000			Proform	C	13	13	Impression base	GEN.INAN.UNV	General inanimate universal	Replaces general inanimate entities that exhaust a range
0	010	000			Proform	C	14	14	Impression base	GEN.INAN.EXS	General inanimate existential	Replaces general inanimate entities from a range
0	010	000			Proform	C	15	15	Impression base	ALT.INAN.UNV	Alternate inanimate universal	Refers to different inanimate entities that exhaust a range
0	010	000			Proform	C	16	16	Impression base	ALT.INAN.EXS	Alternate inanimate existential	Refers to different inanimate entities from a range
0	010	000			Proform	C	17	17	Impression base	GEN.AN.UNV	General animate universal	Replaces general animate entities that exhaust a range
0	010	000			Proform	C	18	18	Impression base	GEN.AN.EXS	General animate existential	Replaces general animate entities from a range
0	010	000			Proform	C	19	19	Impression base	ALT.AN.UNV	Alternate animate universal	Refers to different animate entities that exhaust a range
0	010	000			Proform	C	20	20	Impression base	ALT.AN.EXS	Alternate animate existential	Refers to different animate entities from a range
0	011	000			Proform	V	1	1	Impression accident	3.PRX	Proximal common	Referents generally known or familiar to both speakers
0	011	000			Proform	V	2	2	Impression accident	3.DIS	Distal common	Referents unfamiliar to or distant from both speakers
0	011	000			Proform	V	3	3	Impression accident	1.PRX	Proximal default	Referents close to the speaker or introduced by the speaker
0	011	000			Proform	V	4	4	Impression accident	2.PRX	Proximal inverse	Referents close to the listener or inquired by the speaker
0	011	000			Proform	V	5	5	Impression accident	1.DIS	Distal default	Referents distant from the speaker
0	011	000			Proform	V	6	6	Impression accident	2.DIS	Distal inverse	Referents distant from the listener
0	100	000			Conjunction	C	1	1	Ideation base	TRUE	Verum	Both P and not P
0	100	000			Conjunction	C	2	2	Ideation base	PRJ	Identity	Indeed, P
0	100	000			Conjunction	C	3	3	Ideation base	NEG	Negation	Not P
0	100	000			Conjunction	C	4	4	Ideation base	FALSE	Falsum	Neither P nor not P
0	100	000			Conjunction	C	5	5	Ideation base	TAUT	Tautology	Everything is true
0	100	000			Conjunction	C	6	6	Ideation base	CIMPLY	Converse implication	"Not only Q; P follows from Q"
0	100	000			Conjunction	C	7	7	Ideation base	IMPLY	Implication	"Not only P; P necessitates Q"
0	100	000			Conjunction	C	8	8	Ideation base	XNOR	Equivalence	"Not only P or only Q; P is equivalent to Q"
0	100	000			Conjunction	C	9	9	Ideation base	OR	Disjunction	P or Q, or both
0	100	000			Conjunction	C	10	10	Ideation base	PRJP	Projection of P	"At least P; P is independent from Q"
0	100	000			Conjunction	C	11	11	Ideation base	PRJQ	Projection of Q	"At least Q; P does not matter for Q"
0	100	000			Conjunction	C	12	12	Ideation base	AND	Conjunction	P and Q
0	100	000			Conjunction	C	13	13	Ideation base	NAND	Non-conjunction	"Not both P and Q; P is not compatible with Q"
0	100	000			Conjunction	C	14	14	Ideation base	NEGQ	Negation of Q	"Not Q; P does not matter for not Q"
0	100	000			Conjunction	C	15	15	Ideation base	NEGP	Negation of P	"Not P; not P is independent from Q"
0	100	000			Conjunction	C	16	16	Ideation base	NOR	Non-disjunction	Neither P nor Q
0	100	000			Conjunction	C	17	17	Ideation base	XOR	Non-equivalence	"Either only P or only Q; P is opposite to Q"
0	100	000			Conjunction	C	18	18	Ideation base	NIMPLY	Non-implication	"P without Q; P does not necessitate Q"
0	100	000			Conjunction	C	19	19	Ideation base	NCIMPLY	Converse non-implication	"Q without P; P does not follow from Q"
0	100	000			Conjunction	C	20	20	Ideation base	CNTRD	Contradiction	Nothing is true
0	101	000			Conjunction	V	1	1	Ideation accident	LOG	Logical operator	Defines logical operations
0	101	000			Conjunction	V	2	2	Ideation accident	CALC	Arithmetic operator	Defines arithmetic operations
0	101	000			Conjunction	V	3	3	Ideation accident	AGR	Congruent connective	Asserts a connection that agrees with previous discourse
0	101	000			Conjunction	V	4	4	Ideation accident	DIS	Incongruent connective	Asserts a connection that disagrees with previous discourse
0	101	000			Conjunction	V	5	5	Ideation accident	EVEN	Even number	Represents even numbers
0	101	000			Conjunction	V	6	6	Ideation accident	ODD	Odd number	Represents odd numbers
0	010	000			Content word	C	1	0	Impression base		Absolute	Undifferentiated essence
0	010	000			Content word	C	2	1	Impression base		Image	Immediate basis and origin of perception, raw phenomenality: sense data, qualia, experience, intuition, imagination
0	010	000			Content word	C	3	2	Impression base		Concept	Content of rational thought, objects of mediate perception: ideas, classes, rules, properties, information
0	010	000			Content word	C	4	3	Impression base		Aggregate	Empirical objects, perceptible instances of abstract classes: things, instances, parts, bodies, collections
0	010	000			Content word	C	5	4	Impression base		Agent	Empirical subjects, drivers of action, change and causality: persons, creatures, machines, toys, parties
0	010	000			Content word	C	6	5	Impression base		Space	Fields and properties of distinction, comparable and differentiable: spectrums, places, distances, distinctions
0	010	000			Content word	C	7	6	Impression base		Time	Continuity and identity of association, enduring and inherent: commonalities, periods, durations, identities
0	010	000			Content word	C	8	7	Impression base		Shape	Contours of difference, what enables and participates in local interaction: appearances, textures, borders, forms
0	010	000			Content word	C	9	8	Impression base		Path	Limits of identity, what enables and directs historical motion: movements, traces, causes, effects
0	010	000			Content word	C	10	9	Impression base		Measure	Conceptualized quantity, descriptors of order and proportion: numbers, metrics, sizes, valuations
0	010	000			Content word	C	11	10	Impression base		Affect	Conceptualized quality, developed marks and impressions: impact, impressions, memories, legacy
0	010	000			Content word	C	12	11	Impression base		Relation	Patterns, laws and dispositions that give relevance or context to concepts: agreements, opinions, correspondence, values
0	010	000			Content word	C	13	12	Impression base		Function	Operators, forms and activities that combine, transform, and give purpose: roles, positions, designations, responsibility
0	010	000			Content word	C	14	13	Impression base		Matter	Substances that comprise measured objects, what is overcome in action: materials, composition, amounts, samples
0	010	000			Content word	C	15	14	Impression base		Energy	Potential for change and influence in objects, what is spent in action: events, power, transmission, transformation
0	010	000			Content word	C	16	15	Impression base		Structure	Spatial forms, hierarchy and order in material objects: buildings, frames, preparation, culture
0	010	000			Content word	C	17	16	Impression base		Force	Temporal forms, compared and quantified interactions: effort, strength, impulse, struggle
0	010	000			Content word	C	18	17	Impression base		View	Formal and symbolic models of the world, what makes sense: thoughts, signs, language, meaning
0	010	000			Content word	C	19	18	Impression base		Will	Intuitive and instinctive impressions and drives, what motivates action: desires, fears, motives, habits
0	010	000			Content word	C	20	19	Impression base		Instrument	Mediators and objects of activity, what is used and transformed: resources, tools, products, creations
0	010	000			Content word	C	21	20	Impression base		Action	Particular combinations of subjects, objects and their interaction: behavior, activity, work, intention
0	011	000			Content word	V	1	0	Impression accident		Being	Undifferentiated existence
0	011	000			Content word	V	2	1	Impression accident		Affirmation	Ordinary presence: positive, explicit, normal, concordant, upward
0	011	000			Content word	V	3	2	Impression accident		Negation	Extraordinary absence: negative, implicit, strange, discordant, downward
0	011	000			Content word	V	4	3	Impression accident		Progression	Stable expansion: leading, extensive, symmetric, direct, forward
0	011	000			Content word	V	5	4	Impression accident		Transformation	Disrupting growth: reaching, complex, continuous, interconnected, rightward
0	011	000			Content word	V	6	5	Impression accident		Inversion	Stable reversion: following, compact, asymmetric, oblique, backward
0	011	000			Content word	V	7	6	Impression accident		Subversion	Disrupting evasion: concealing, simple, discrete, autonomous, leftward
0	100	000			Content word	C	1	0	Ideation base		Absolute	Undifferentiated essence
0	100	000			Content word	C	2	1	Ideation base		Image	Immediate basis and origin of perception, raw phenomenality: sense data, qualia, experience, intuition, imagination
0	100	000			Content word	C	3	2	Ideation base		Concept	Content of rational thought, objects of mediate perception: ideas, classes, rules, properties, information
0	100	000			Content word	C	4	3	Ideation base		Aggregate	Empirical objects, perceptible instances of abstract classes: things, instances, parts, bodies, collections
0	100	000			Content word	C	5	4	Ideation base		Agent	Empirical subjects, drivers of action, change and causality: persons, creatures, machines, toys, parties
0	100	000			Content word	C	6	5	Ideation base		Space	Fields and properties of distinction, comparable and differentiable: spectrums, places, distances, distinctions
0	100	000			Content word	C	7	6	Ideation base		Time	Continuity and identity of association, enduring and inherent: commonalities, periods, durations, identities
0	100	000			Content word	C	8	7	Ideation base		Shape	Contours of difference, what enables and participates in local interaction: appearances, textures, borders, forms
0	100	000			Content word	C	9	8	Ideation base		Path	Limits of identity, what enables and directs historical motion: movements, traces, causes, effects
0	100	000			Content word	C	10	9	Ideation base		Measure	Conceptualized quantity, descriptors of order and proportion: numbers, metrics, sizes, valuations
0	100	000			Content word	C	11	10	Ideation base		Affect	Conceptualized quality, developed marks and impressions: impact, impressions, memories, legacy
0	100	000			Content word	C	12	11	Ideation base		Relation	Patterns, laws and dispositions that give relevance or context to concepts: agreements, opinions, correspondence, values
0	100	000			Content word	C	13	12	Ideation base		Function	Operators, forms and activities that combine, transform, and give purpose: roles, positions, designations, responsibility
0	100	000			Content word	C	14	13	Ideation base		Matter	Substances that comprise measured objects, what is overcome in action: materials, composition, amounts, samples
0	100	000			Content word	C	15	14	Ideation base		Energy	Potential for change and influence in objects, what is spent in action: events, power, transmission, transformation
0	100	000			Content word	C	16	15	Ideation base		Structure	Spatial forms, hierarchy and order in material objects: buildings, frames, preparation, culture
0	100	000			Content word	C	17	16	Ideation base		Force	Temporal forms, compared and quantified interactions: effort, strength, impulse, struggle
0	100	000			Content word	C	18	17	Ideation base		View	Formal and symbolic models of the world, what makes sense: thoughts, signs, language, meaning
0	100	000			Content word	C	19	18	Ideation base		Will	Intuitive and instinctive impressions and drives, what motivates action: desires, fears, motives, habits
0	100	000			Content word	C	20	19	Ideation base		Instrument	Mediators and objects of activity, what is used and transformed: resources, tools, products, creations
0	100	000			Content word	C	21	20	Ideation base		Action	Particular combinations of subjects, objects and their interaction: behavior, activity, work, intention
0	101	000			Content word	V	1	0	Ideation accident		Being	Undifferentiated existence
0	101	000			Content word	V	2	1	Ideation accident		Affirmation	Ordinary presence: positive, explicit, normal, concordant, upward
0	101	000			Content word	V	3	2	Ideation accident		Negation	Extraordinary absence: negative, implicit, strange, discordant, downward
0	101	000			Content word	V	4	3	Ideation accident		Progression	Stable expansion: leading, extensive, symmetric, direct, forward
0	101	000			Content word	V	5	4	Ideation accident		Transformation	Disrupting growth: reaching, complex, continuous, interconnected, rightward
0	101	000			Content word	V	6	5	Ideation accident		Inversion	Stable reversion: following, compact, asymmetric, oblique, backward
0	101	000			Content word	V	7	6	Ideation accident		Subversion	Disrupting evasion: concealing, simple, discrete, autonomous, leftward
0	000					C	1	0	Tense		General	Predicates without attributed temporality
0	000					C	2	1	Tense	PRS	Present simple	Event-like predicates actual at the point of reference
0	000					C	3	2	Tense	PRSP	Present progressive	Process-like predicates actual at the point of reference
0	000					C	4	8	Tense	PST	Past simple	Event-like predicates actual before the point of reference
0	000					C	5	12	Tense	FUT	Future simple	Event-like predicates actual after the point of reference
0	000					C	6	16	Tense	PSTP	Past progressive	Process-like predicates actual before the point of reference
0	000					C	7	20	Tense	FUTP	Future progressive	Process-like predicates actual after the point of reference
0	001					V	1	0	Alignment		Nominative	Neutral case: stand-in for the main participant
0	001					V	2	1	Alignment	PAT	Patientive	Passive direct: sufferer of action, bearer of state
0	001					V	3	2	Alignment	AGT	Agentive	Active direct: producer of action, creator of state
0	001					V	4	3	Alignment	LOC	Locative	Passive indirect: target, medium, or circumstance
0	001					V	5	4	Alignment	DAT	Dative	Passive indirect: effect, purpose, or destination
0	001					V	6	5	Alignment	INS	Instrumental	Active indirect: tool, performer, or partner
0	001					V	7	6	Alignment	GEN	Genitive	Active indirect: cause, reason, or origin
0	111					V	1	0	Category		Stative	Complete statements
0	111					V	2	1	Category	PRED	Action state	States of being for other entities
0	111					V	3	2	Category	SUBJ	Entity state	Modes of being for other entities
0	111					V	4	3	Category	VERB	Action instance	Actions as such
0	111					V	5	4	Category	ADV	Action property	Descriptors of other actions
0	111					V	6	5	Category	NOUN	Entity instance	Entities as such
0	111					V	7	6	Category	ADJ	Entity property	Descriptors of other entities
0	110					C	1	0	Aspect		Generic	Abstract, indivisible predication
0	110					C	2	3	Aspect	MASS	Monadic atelic	Predication that happens or endures in an atelic manner
0	110					C	3	4	Aspect	UNLIM	Iterative atelic	Predication that repeats in an atelic manner
0	110					C	4	6	Aspect	SG	Monadic perfective	One-time telic predication that successfully terminated
0	110					C	5	10	Aspect	PRT	Monadic imperfective	One-time telic predication that did not terminate
0	110					C	6	14	Aspect	PL	Iterative perfective	Repeating telic predication that successfully terminated
0	110					C	7	18	Aspect	PAU	Iterative imperfective	Repeating telic predication that did not terminate
0	100					C	1	1	Postfix base		Impersonal entity	"Pictures and experience; material or immaterial impressions"
0	100					C	2	2	Postfix base		Personal entity	"Actors and performance; identity of animated, actant subjects"
0	100					C	3	3	Postfix base		Impersonal idea	"Plans and templates; types and shapes for objects to fit"
0	100					C	4	4	Postfix base		Personal idea	"Desires and drives; impulses and aspirations that direct the will"
0	100					C	5	5	Postfix base		Impersonal direct sphere	"Ownership and places; fixations and spatial localities of action"
0	100					C	6	6	Postfix base		Impersonal direct situation	"Events and periods; temporal localities and opportunities for action"
0	100					C	7	7	Postfix base		Impersonal direct design	"Borders and interfaces; conduits of close interaction"
0	100					C	8	8	Postfix base		Impersonal direct activity	"Metrics and quantities; changes in size and reach"
0	100					C	9	9	Postfix base		Personal direct sphere	"Hierarchies and qualities; development and evolution of systems"
0	100					C	10	10	Postfix base		Personal direct situation	"Interpretation and recreation; systems of meaning and value"
0	100					C	11	11	Postfix base		Personal direct design	"Teams and collectives; what unites and directs agents"
0	100					C	12	12	Postfix base		Personal direct activity	"Roles and duties; functionality in productive activity"
0	100					C	13	13	Postfix base		Impersonal oblique sphere	"Resources and production; the makeup and usability of things"
0	100					C	14	14	Postfix base		Impersonal oblique situation	"Actual and potential activity; emergence of action in time"
0	100					C	15	15	Postfix base		Impersonal oblique design	"Orders and rules; systemic and institutional collectives"
0	100					C	16	16	Postfix base		Impersonal oblique activity	"Applications of force; potential for change and resisting change"
0	100					C	17	17	Postfix base		Personal oblique sphere	"Data and knowledge; symbolic and semantic contents"
0	100					C	18	18	Postfix base		Personal oblique situation	"Reasons and purposes; actionable meaning of things"
0	100					C	19	19	Postfix base		Personal oblique design	"Meaning and signs; media of expression and modeling"
0	100					C	20	20	Postfix base		Personal oblique activity	"Causes and effects; experiments, actions and dependencies"
0	101					V	1	1	Postfix accident		Passive abstract	"Mode or receiver; what is affected by action"
0	101					V	2	2	Postfix accident		Active abstract	"State or operator; what causes and performs action"
0	101					V	3	3	Postfix accident		Passive nominative	"Activity or region; locality, temporality, and process of action"
0	101					V	4	4	Postfix accident		Passive associative	"Method or destination; path of action towards its end"
0	101					V	5	5	Postfix accident		Active nominative	"Object or support; media, factors, and participants of action"
0	101					V	6	6	Postfix accident		Active associative	"Quality or origin; conditons for and effectiveness of action"
0	010					C	1	1	Prefix base		Objective quality	Intensity, degree, or stage
0	010					C	2	2	Prefix base		Subjective quality	Degree of fit to its own class, type, or template
0	010					C	3	3	Prefix base		Objective identity	Conceptual similarity to another referent
0	010					C	4	4	Prefix base		Subjective identity	Degree of fit to expectations from it or its kind
0	010					C	5	5	Prefix base		Objective position	Spatial location or direction
0	010					C	6	6	Prefix base		Objective propriety	Temporal location or direction
0	010					C	7	7	Prefix base		Objective quantity	Number, composition, or uniformity
0	010					C	8	8	Prefix base		Objective homogeneity	Uniformity, variety, or coherence
0	010					C	9	9	Prefix base		Subjective position	Degree of social or other deontic achievement or respect
0	010					C	10	10	Prefix base		Subjective propriety	Degree of fit or aptitude, orientation in semantic temporality
0	010					C	11	11	Prefix base		Subjective quantity	Postive or negative influence, alignment or support
0	010					C	12	12	Prefix base		Subjective homogeneity	Figurative or deontic quality or value
0	010					C	13	13	Prefix base		Objective structure	Empirical order and structure, set and element relationship
0	010					C	14	14	Prefix base		Objective success	Precedence or role in causal or other temporal relationship
0	010					C	15	15	Prefix base		Objective distinction	Quality of fullness, wholeness, or internal harmony
0	010					C	16	16	Prefix base		Objective interrelation	Degree of causal or other temporal interconnection
0	010					C	17	17	Prefix base		Subjective structure	Hierarchical position or degree of reverence
0	010					C	18	18	Prefix base		Subjective success	Familial or other hereditary position
0	010					C	19	19	Prefix base		Subjective distinction	Social distinctions related to age and sex
0	010					C	20	20	Prefix base		Subjective interrelation	Experience and willingness to engage in relationships
0	011					V	1	1	Prefix accident		Augmentative	Higher, senior, more general qualities
0	011					V	2	2	Prefix accident		Diminutive	Lower, junior, more specific qualities
0	011					V	3	3	Prefix accident		Superlative positive	Progressive, extensive, explicit qualities
0	011					V	4	4	Prefix accident		Comparative positive	Dextral, intensive, aggregate qualities
0	011					V	5	5	Prefix accident		Superlative negative	Regressive, compact, implicit qualities
0	011					V	6	6	Prefix accident		Comparative negative	Sinistral, limited, particular qualities
0	010	000	000	000		C	1	0	Tense		General	Predicates without attributed temporality
0	010	000	000	000		C	2	1	Tense	PRS	Present simple	Event-like predicates actual at the point of reference
0	010	000	000	000		C	3	2	Tense	PRSP	Present progressive	Process-like predicates actual at the point of reference
0	010	000	000	000		C	4	8	Tense	PST	Past simple	Event-like predicates actual before the point of reference
0	010	000	000	000		C	5	12	Tense	FUT	Future simple	Event-like predicates actual after the point of reference
0	010	000	000	000		C	6	16	Tense	PSTP	Past progressive	Process-like predicates actual before the point of reference
0	010	000	000	000		C	7	20	Tense	FUTP	Future progressive	Process-like predicates actual after the point of reference
0	001	000	001	000		V	1	0	Alignment		Nominative	Neutral case: stand-in for the main participant
0	001	000	001	000		V	2	1	Alignment	PAT	Patientive	Passive direct: sufferer of action, bearer of state
0	001	000	001	000		V	3	2	Alignment	AGT	Agentive	Active direct: producer of action, creator of state
0	001	000	001	000		V	4	3	Alignment	LOC	Locative	Passive indirect: target, medium, or circumstance
0	001	000	001	000		V	5	4	Alignment	DAT	Dative	Passive indirect: effect, purpose, or destination
0	001	000	001	000		V	6	5	Alignment	INS	Instrumental	Active indirect: tool, performer, or partner
0	001	000	001	000		V	7	6	Alignment	GEN	Genitive	Active indirect: cause, reason, or origin
0	111	000	111	000		V	1	0	Category		Stative	Complete statements
0	111	000	111	000		V	2	1	Category	PRED	Action state	States of being for other entities
0	111	000	111	000		V	3	2	Category	SUBJ	Entity state	Modes of being for other entities
0	111	000	111	000		V	4	3	Category	VERB	Action instance	Actions as such
0	111	000	111	000		V	5	4	Category	ADV	Action property	Descriptors of other actions
0	111	000	111	000		V	6	5	Category	NOUN	Entity instance	Entities as such
0	111	000	111	000		V	7	6	Category	ADJ	Entity property	Descriptors of other entities
0	010	000	110	000		C	1	0	Aspect		Generic	Abstract, indivisible predication
0	010	000	110	000		C	2	3	Aspect	MASS	Monadic atelic	Predication that happens or endures in an atelic manner
